Employee Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
Name,Fall 2020 - Staff Remote Learning Pulse Survey (Public),How to Improve Remote Learning,Overall Perceptions of Remote Learning,School Climate & Culture,Technology Challenges with Remote Learning,Spring 2019 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2018 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2017 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2016 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2015 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture
Adams,,28.0,57.0,91.0,34.0,,79.0,75.0,84.0,,61.0,61.0,60.0,,68.0,70.0,66.0,,86.0,87.0,86.0,,91.0,92.0,89.0
Aki Kurose,,27.0,44.0,84.0,40.0,,56.0,53.0,60.0,,63.0,62.0,65.0,,67.0,63.0,71.0,,69.0,66.0,73.0,,59.0,59.0,60.0
Alki,,28.0,47.0,75.0,25.0,,89.0,87.0,91.0,,88.0,87.0,89.0,,83.0,81.0,86.0,,69.0,67.0,71.0,,87.0,83.0,91.0
Arbor Heights,,28.0,40.0,81.0,26.0,,63.0,58.0,68.0,,59.0,58.0,61.0,,71.0,71.0,70.0,,61.0,64.0,57.0,,55.0,58.0,52.0
B.F. Day,,31.0,53.0,83.0,33.0,,72.0,66.0,80.0,,62.0,55.0,70.0,,65.0,66.0,65.0,,51.0,45.0,57.0,,46.0,49.0,42.0
BRIDGES Transition,,32.0,51.0,85.0,31.0,,,,,,,,,,,,,,,,,,,,
Bailey Gatzert,,35.0,48.0,92.0,38.0,,57.0,57.0,58.0,,62.0,62.0,63.0,,61.0,62.0,60.0,,64.0,72.0,56.0,,68.0,72.0,64.0
Ballard,,28.0,46.0,79.0,39.0,,55.0,50.0,61.0,,52.0,43.0,61.0,,54.0,42.0,68.0,,55.0,45.0,65.0,,62.0,53.0,71.0
Beacon Hill Int'l,,30.0,42.0,97.0,33.0,,95.0,93.0,97.0,,88.0,87.0,90.0,,81.0,81.0,82.0,,63.0,64.0,62.0,,62.0,61.0,64.0
Boren STEM K-8,,26.0,40.0,86.0,20.0,,48.0,42.0,56.0,,48.0,42.0,54.0,,65.0,58.0,73.0,,61.0,48.0,75.0,,62.0,55.0,70.0
Broadview-Thomson (K-8),,26.0,41.0,80.0,33.0,,61.0,56.0,67.0,,55.0,53.0,57.0,,52.0,51.0,53.0,,49.0,44.0,54.0,,57.0,60.0,54.0
